,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,bonnet,37.23,44,5,0.9738,0.0262
1,nurse,10.52,92,37,0.9132,0.0868
2,mill,7.99,85,45,0.8888,0.1112
3,needle,7.86,39,21,0.8871,0.1129
4,wise,6.84,181,112,0.8724,0.1276
5,darling,6.7,38,24,0.8701,0.1299
6,strawberry,5.96,31,22,0.8563,0.1437
7,thread,5.9,60,43,0.8551,0.1449
8,frigate,5.74,38,28,0.8517,0.1483
9,kissed,5.59,37,28,0.8483,0.1517
10,cloak,5.54,38,29,0.8472,0.1528
11,beautiful,5.2,134,109,0.8387,0.1613
12,milk,4.87,38,33,0.8297,0.1703
13,sweet,4.73,105,94,0.8253,0.1747
14,she will,4.36,33,32,0.8135,0.1865
15,moon,3.69,82,94,0.7868,0.2132
16,vanished,3.68,47,54,0.7864,0.2136
17,picture,3.61,70,82,0.7832,0.2168
18,child,3.57,364,431,0.7813,0.2187
19,dress,3.57,86,102,0.781,0.219
20,married,3.44,48,59,0.7749,0.2251
21,bosom,3.23,45,59,0.7634,0.2366
22,frightened,3.18,85,113,0.7609,0.2391
23,grow,3.01,42,59,0.7507,0.2493
