emotion,female_scores,male_scores
fear,0.06664532175171409,0.08992759733533374
anger,0.05394893779640121,0.06583735352375443
trust,0.12586307221598447,0.11737982180525935
surprise,0.058458161474054256,0.0561727827403223
positive,0.2089094846288912,0.20295662397873276
negative,0.14284074748093273,0.15569825017205563
sadness,0.07587390285582683,0.07561872125339825
disgust,0.04313545561663643,0.043378904363122604
joy,0.10945387927304372,0.08220395104923675
anticipation,0.11487103690651511,0.11082599377878417
